"ID","org","address","phone","website","lon","lat","zipcode","beds_capacity","type"
18,"Corona Regional Medical Center-Main","800 South Main Street, Corona, CA 92882","","http://www.coronaregional.com",-117.568320926,33.8730376980001,"92882",160,"General Acute Care"
19,"Patients' Hospital of Redding","2900 Eureka Way, Redding, CA 96001","","http://www.patientshospital.com",-122.416830896,40.5859216490001,"96001",10,"General Acute Care"
20,"Kentfield Rehabilitation Hospital","1125 Sir Francis Drake Blvd, Kentfield, CA 94914","","http://www.kentfieldrehab.com",-122.552495864,37.958706218,"94914",60,"General Acute Care"
21,"Surprise Valley Community Hospital","741 N. Main Street, Cedarville, CA 96104","","http://svhospital.org/",-120.171428084,41.5314890670001,"96104",26,"General Acute Care"
22,"Fresno Surgical Hospital","6125 North Fresno Street, Fresno, CA 93710","","http://www.fresnosurgicalhospital.com",-119.78216158,36.8249140890001,"93710",27,"General Acute Care"
23,"Trinity Hospital","60 b Easter Avenue, Weaverville, CA 96093","","http://www.mcmedical.org",-122.939656929,40.7380835070001,"96093",51,"General Acute Care"
24,"Pacific Orange Hospital, Llc","3350 West Ball Road, Anaheim, CA 92804","","http://www.anaheimregionalmc.com/",-118.007181145,33.815846992,"92804",101,"General Acute Care"
25,"Garden Grove Hospital and Medical Center","12601 Garden Grove Blvd., Garden Grove, CA 92643","","http://www.gardengrovehospital.com/",-117.913092884,33.7749859690001,"92643",167,"General Acute Care"
26,"West Anaheim Medical Center","3033 West Orange Avenue, Anaheim, CA 92804","","http://www.westanaheimmedctr.com/",-117.995073632,33.825385214,"92804",219,"General Acute Care"
27,"Oak Valley District Hospital (2-Rh)","350 South Oak Street, Oakdale, CA 95361","","http://www.oakvalleycares.org",-120.860996573,37.7576162720001,"95361",35,"General Acute Care"
28,"Kaweah Delta Rehabilitation Hospital","840 South Akers, Visalia, CA 93277","","http://www.kaweahdelta.org",-119.34793469,36.3226068330001,"93277",61,"General Acute Care"
29,"West Paces Medical Center","3200 Howell Mill Road, Atlanta, GA 30327","(404) 351-0351","",-84.427087362,33.8425244310001,"30327",294,"General Acute Care"
30,"Youth Villages - Inner Harbour Campus","4685 Dorsett Shoals Road, Douglasville, GA 30135","(770) 489-0406","http://www.youthvillages.org/what-we-do/residential-programs/inner-harbour-campus.aspx",-84.7339195439999,33.677688952,"30135",90,"Psychiatric"
31,"Washington County Hospital","958 u s Highway 64 East, Plymouth, NC 27962","(252) 793-4135","http://wch.hmccah.com/‎",-76.729283681,35.8627820830001,"27962",49,"General Acute Care"
32,"Doctor's Hospital at Deer Creek","815 s 10th St, Leesville, LA 71446","(337) 392-5088","http://www.dhdc.md",-93.268822748,31.1356353470001,"71446",10,"General Acute Care"
33,"Southeast Regional Medical Center","719 Avenue G, Kentwood, LA 70444","(985) 229-9193","",-90.5192469679999,30.937128638,"70444",14,"Long Term Care"
34,"Dequincy Memorial Hospital","110 w 4th St, Dequincy, LA 70633","(337) 786-1200","http://www.dequincyhospital.com",-93.436424441,30.452520835,"70633",19,"General Acute Care"
35,"Alvarado Hospital Medical Center","6645 Alvarado Road, San Diego, CA 92120","","http://www.alvaradohospital.com",-117.057681266,32.7768583530001,"92120",80,"General Acute Care"
36,"California Pacific Med Ctr-Davies Campus","601 Duboce Avenue, San Francisco, CA 94117","(415) 600-6000","http://www.cpmc.org",-122.434530253,37.768684282,"94117",223,"General Acute Care"
37,"California Pacific Medical Center - St. Luke's Campus","3555 Cesar Chavez Street, San Francisco, CA 94110","","http://www.cpmc.org",-122.420767899,37.747717858,"94110",228,"General Acute Care"
38,"California Rehabilitation Institute, Llc","2070 Century Park East, Los Angeles, CA 90067","(424) 522-7100","https://www.californiarehabinstitute.com/",-118.41186805,34.059102925,"90067",138,"General Acute Care"
39,"Doctors Medical Center-Behavioral Health Department","1501 Claus Road, Modesto, CA 95355","(209) 557-6300","http://www.dmc-modesto.com",-120.922231928,37.6658240080001,"95355",67,"General Acute Care"
40,"Southern California Hospital at Van Nuys d/p Aph","14433 Emelita Street, Van Nuys, CA 91401","(818) 787-1511","http://sch-vannuys.com/",-118.447490834,34.176900695,"91401",59,"General Acute Care"
41,"Department of State Hospital - Coalinga","24511 West Jayne Avenue, Coalinga, CA 93210","(559) 935-4300","http://www.dsh.ca.gov/Coalinga/default.asp",-120.240445956,36.1335482900001,"93210",1500,"Psychiatric"
42,"Mayers Memorial Hospital","43563 State Hwy. 299 E, Fall River Mills, CA 96028","","http://www.mayersmemorial.com",-121.424054412,41.023889361,"96028",121,"General Acute Care"
43,"Santa Monica - Ucla Medical Center & Orthopaedic Hospital","1250 16th Street, Santa Monica, CA 90404","","https://www.uclahealth.org/Santa-Monica/Pages/default.aspx",-118.486892397,34.027708681,"90404",265,"General Acute Care"
44,"Shasta County p h f","2640 Breslauer Way, Redding, CA 96001","","http://www.co.shasta.ca.us/index/hhsa_index/mental_wellness/adult_mh.aspx",-122.380488223,40.550135106,"96001",15,"Psychiatric"
45,"Telecare Santa Cruz Phf","2250 Soquel Ave, Santa Cruz, CA 95062","","http://www.telecarecorp.com/programs/148",-121.993947054,36.9833689210001,"95062",16,"Psychiatric"
46,"Columbia St Marys Hospital Ozaukee","13111 n Port Washington Rd, Mequon, WI 53097","(262) 243-7300","",-87.926216565,43.255979392,"53097",182,"General Acute Care"
47,"Ventura County Medical Center - Santa Paula  Hospital","825 North 10th Street, Santa Paula, CA 93060","","http://www.vchca.org/hospitals/santa-paula-hospital",-119.064914805,34.366446695,"93060",49,"General Acute Care"
48,"Northside Medical Center","100 Frist Court, Columbus, GA 31909","","",-84.951212572,32.5345247990001,"31909",100,"General Acute Care"
49,"Regency Hospital Company of Macon, Llc","535 Coliseum Drive, Macon, GA 31217","","",-83.6152774729999,32.847705239,"31217",34,"General Acute Care"
50,"Chatuge Regional Hospital","110 East Main Street, Hiawassee, GA 30546","","",-83.753915298,34.946576458,"30546",25,"Critical Access"
51,"Candler Hospital","5353 Reynolds Street, Savannah, GA 31412","","",-81.1001092509999,32.028166667,"31412",320,"General Acute Care"
52,"Murray Medical Center","707 Old Dalton Ellijay Road, Po Box 1406, Chatsworth, GA 30705","(706) 517-2031","http://www.murraymedical.org/",-84.7831754469999,34.780041,"30705",42,"General Acute Care"
53,"Tanner Medical Center - Carrollton","705 Dixie Street, Carrollton, GA 30117","","http://www.tanner.org/hospitals-and-facilities/hospitals/tanner-medical-center-carrollton",-85.0752261979999,33.569477717,"30117",181,"General Acute Care"
54,"Piedmont Fayette Hospital","1255 Highway 54 West, Fayetteville, GA 30214","(770) 719-7071","http://www.fayettehospital.org",-84.507989992,33.452147106,"30214",157,"General Acute Care"
55,"Roosevelt Warm Springs Rehabilitation Hospital","6135 Roosevelt Highway, Warm Springs, GA 31830","(706) 655-5001","",-84.694070009,32.8873263890001,"31830",52,"Rehabilitation"
56,"Riverwoods Behavioral Health System","223 Medical Center Drive, Riverdale, GA 30274","","",-84.390716705,33.582212957,"30274",75,"General Acute Care"
57,"Wesley Woods Geriatric Hospital","1821 Clifton Road, Ne, Atlanta, GA 30329","","https://www.emoryhealthcare.org/locations/offices/wesley-woods-geriatric-hospital.html",-84.3314099629999,33.804878451,"30329",82,"General Acute Care"
58,"Post Acute Medical Specialty Hospital of Milwaukee","5017 s 110th St, Greenfield, WI 53228","(414) 427-8282","http://www.warmsprings.org/our-facilities/hospitals/post-acute-medical-specialty-hospital-milwaukee/",-88.050969862,42.9536724600001,"53228",62,"Long Term Care"
59,"Thedacare Medical Center New London","1405 Mill St, New London, WI 54961","(920) 531-2000","https://www.thedacare.org/Hospitals-and-Clinics/ThedaCare-Medical-Center-New-London.aspx",-88.733700853,44.381156267,"54961",25,"Critical Access"
60,"Oakleaf Surgical Hospital","1000 Oakleaf Way, Altoona, WI 54720","(715) 831-8130","http://www.oakleafsurgical.com",-91.452710482,44.8157161880001,"54720",13,"General Acute Care"
61,"Centennial Medical Plaza","14200 e Arapahoe Road, Centennial, CO 80112","(303) 699-3000","",-104.823784754,39.5941827170001,"80112",-999,"General Acute Care"
62,"Children's Hospital Colorado at St Josephs Hosp","1830 Franklin Street, Denver, CO 80218","(720) 777-1360","",-104.968042951,39.745251791,"80218",-999,"Children"
63,"Children's Hospital Colorado at Memorial Hospital Central","1400 East Boulder Street, Colorado Springs, CO 80909","(719) 365-5000","",-104.799477406,38.8397997510001,"80909",-999,"Children"
64,"Children's Hospital Colorado at Parker Adventist Hospital","9395 Crown Crest Blvd, Parker, CO 80138","(720) 777-1350","",-104.770876035,39.548138813,"80138",-999,"General Acute Care"
65,"Healthsouth Rehabilitation Hospital of Littleton","1001 West Mineral Avenue, Littleton, CO 80120","(303) 334-1100","",-105.000098158,39.5745418340001,"80120",-999,"Rehabilitation"
66,"University of Colorado Hospital Anschutz Inpatient Pavilion","12605 East 16th Avenue, Aurora, CO 80045","(720) 848-0000","",-104.841122081,39.742304502,"80045",-999,"General Acute Care"
67,"Healthsouth Rehabilitation Hospital of Alexandria","104 North 3rd Street, Alexandria, LA 71301","(318) 449-1370","",-92.4523319639999,31.3176832830001,"71301",-999,"Rehabilitation"
68,"Houma-Amg Specialty Hospital","629 Dunn Street, Houma, LA 70360","(985) 274-0001","http://www.amghouma.com/‎",-90.71204306,29.5929878430001,"70360",40,"Long Term Care"
69,"Ochsner Medical Center","1516 Jefferson Highway, New Orleans, LA 70121","(504) 842-3000","https://www.ochsner.org/locations/ochsner-medical-center/",-90.145550567,29.961401752,"70121",473,"General Acute Care"
70,"Slidell -Amg Specialty Hosptial","1400 Lindberg Drive, Slidell, LA 70458","(985) 326-0440","",-89.753750162,30.2808042720001,"70458",-999,"Special"
71,"Lodi Memorial Hospital - West","800 So. Lower Sacramento Road, Lodi, CA 95242","","https://www.lodihealth.org/",-121.305906841,38.12385822,"95242",24,"General Acute Care"
72,"Tarzana Treatment Center","18646 Oxnard Street, Tarzana, CA 91356","","http://www.providence.org/tarzana.com",-118.539856202,34.1794458260001,"91356",60,"Psychiatric"
73,"St. Jude Medical Center","101 East Valencia Mesa Drive, Fullerton, CA 92835","","http://www.stjudemedicalcenter.org",-117.927462694,33.893548348,"92835",351,"General Acute Care"
74,"Mercy Hlth Sys Corp","1000 Mineral Point Ave, Janesville, WI 53548","(608) 756-6080","http://www.mercyhealthsystem.org",-89.03319042,42.6878459100001,"53548",240,"General Acute Care"
75,"Sauk Prairie Mem Hsptl","80 First St, Prairie Du Sac, WI 53578","(608) 643-3311","http://www.spmh.org",-89.720064545,43.2828539760001,"53578",36,"General Acute Care"
76,"Community Memorial Hsptl","W180 N8085 Town Hall Rd, Menomonee Falls, WI 53051","(262) 251-1000","http://www.communitymemorial.com",-88.1376054519999,43.1643527570001,"53051",237,"General Acute Care"
77,"Aurora Medical Center","36500 Aurora Drive, Summit, WI 53066","(262) 434-1000","http://www.aurorahealthcare.org",-88.467578653,43.0659120560001,"53066",117,"General Acute Care"
78,"Theda Clark Med Ctr","130 2nd St West Pavilion, Neenah, WI 54956","(920) 729-3100","http://www.thedacare.org",-88.453384929,44.1874895560001,"54956",182,"General Acute Care"
79,"Ministry Saint Josephs Hospital","611 St Joseph Ave, Marshfield, WI 54449","(715) 387-7850","http://www.stjosephs-marshfield.org",-90.1787418009999,44.677262097,"54449",504,"General Acute Care"
80,"Riverview Hsptl Assoc","410 Dewey Street, Wisconsin Rapids, WI 54495","(715) 423-6060","http://www.riverviewhospital.org",-89.829889438,44.3817580300001,"54495",99,"General Acute Care"
81,"Sonora Regional Medical Center d/p Snf (Unit 6 and 7)","179 S. Fairview Lane, Sonora, CA 95370","","http://www.sonoramedicalcenter.org/",-120.390795557,37.9796673370001,"95370",68,"General Acute Care"
82,"Santa Barbara Cottage Hospital","400 W. Pueblo Street, Santa Barbara, CA 93102","(805) 682-7111","http://www.cottagehealth.org/",-119.723809039,34.429466689,"93102",412,"General Acute Care"
83,"Gaylord Hospital","50 Gaylord Farm Rd, Wallingford, CT 6492","(203) 284-2800","http://www.gaylord.org/",-72.856761249,41.472884784,"6492",-999,"Chronic Disease"
84,"Century Hospital Medical Center","501 Church St, Century, FL 32535","","",-87.257597991,30.970393835,"32535",34,"General Acute Care"
85,"Scottsdale Healthcare Thompson Peak","7400 E. Thompson Peak Parkway, Scottsdale, AZ 85255","(480) 324-7000","http://www.shc.org",-111.922322403,33.67112932,"85255",92,"General Acute Care"
86,"Hebrew Rehabilitation Center","1200 Centre St, Boston, MA 2131","(617) 325-8000","http://www.hebrewseniorlife.org/healthcare",-71.131797808,42.2968005640001,"2131",455,"Rehabilitation"
87,"Lemuel Sattuck Hospital","170 Morton St, Boston, MA 2130","(617) 522-8110","http://www.mass.gov/eohhs/gov/departments/dph/programs/hospitals/shattuck/",-71.101742982,42.299580995,"2130",255,"Psychiatric"
88,"Alegent Health Community Memorial Hospital","631 n 8th St, Missouri Valley, IA 51555","(712) 642-2784","http://www.alegentcreighton.com/community-memorial",-95.8856184699999,41.5629436460001,"51555",25,"Critical Access"
89,"Comanche County Hospital","202 s Frisco Ave, Coldwater, KS 67029","(620) 582-2144","http://www.gpha.com",-99.332654648,37.2680794130001,"67029",12,"Critical Access"
90,"Fredonia Regional Hospital","1527 Madison, Fredonia, KS 66736","(620) 378-2121","http://www.fredoniaregionalhospital.org",-95.8141520189999,37.534067877,"66736",34,"Critical Access"
91,"Hebrew Rehabilitation Center at Dedham","7000 Great Meadow Road, Dedham, MA 2026","(617) 363-8913","http://www.hebrewseniorlife.org/dedham-mass-long-term-care",-71.195022427,42.266535768,"2026",220,"Rehabilitation"
92,"Westwood/Pembroke Health System Pembroke","199 Oak Street, Pembroke, MA 2359","(781) 826-8161","http://arbourhealth.com/organizations/pembroke-hospital/",-70.764458636,42.097623722,"2359",120,"Psychiatric"
93,"Walden Behavioral Care, Llc","9 Hope Avenue, Waltham, MA 2453","(781) 647-6727","http://www.waldenbehavioralcare.com/",-71.249339,42.369626,"2453",45,"Psychiatric"
94,"Promise Hospital of Overland Park","6509 w 103rd St, Overland Park, KS 66212","(913) 649-3701","http://www.promise-overlandpark.com/",-94.6625132299999,38.9398662350001,"66212",56,"Long Term Care"
95,"New England Sinai Hospital","150 York Street, Po Box Cs9105, Stoughton, MA 2072","(781) 344-0600","https://www.newenglandsinai.org/",-71.0988286259999,42.144626552,"2072",157,"Rehabilitation"
96,"Sturgis Hospital","916 Myrtle Ave, Sturgis, MI 49091","","http://www.sturgishospital.com",-85.407564797,41.7946286320001,"49091",84,"General Acute Care"
97,"Spectrum Health Pennock Hospital","1009 w Green St, Hastings, MI 49058","","http://www.spectrumhealth.org/pennock",-85.3028252409999,42.6447739010001,"49058",49,"General Acute Care"
98,"Mclaren Bay Region","1900 Columbus Ave, Bay City, MI 48708","","http://www.bayregional.org",-83.868396154,43.5882164270001,"48708",338,"General Acute Care"
99,"Forest Health Medical Center","135 s Prospect St, Ypsilanti, MI 48198","","http://www.fhmc-mi.com/",-83.600647596,42.2375710630001,"48198",68,"General Acute Care"
100,"Mary Free Bed Hospital & Rehabilitation Center","235 Wealthy Se, Grand Rapids, MI 49503","","http://www.maryfreebed.com",-85.662746247,42.956973878,"49503",119,"General Acute Care"
101,"Aspirus Keweenaw Hospital","205 Osceola, Laurium, MI 49913","","http://www.aspiruskeweenaw.org",-88.443500848,47.2387831730001,"49913",25,"General Acute Care"
102,"Dickinson County Memorial Hospital","1721 s Stephenson Ave, Iron Mountain, MI 49801","","http://www.dchs.org/",-88.044451237,45.809878058,"49801",96,"General Acute Care"
103,"Aspirus Ontonagon Hospital, Inc","601 s Seventh St, Ontonagon, MI 49953","","http://www.aspirus-ontonagon.org",-89.3016584599999,46.865595361,"49953",25,"General Acute Care"
104,"Otsego Memorial Hospital","825 n Center Ave, Gaylord, MI 49735","","http://www.myomh.org",-84.6749176019999,45.035327075,"49735",46,"General Acute Care"
105,"St Mary's of Michigan-Towne Ctr","4599 Towne Centre Rd, Saginaw, MI 48604","(989) 497-3000","http://www.stmarysofmichigan.org/find_a_location/index.php?i=86",-83.9649316859999,43.473972276,"48604",-999,"General Acute Care"
106,"Chippewa Co Montevideo Hosp","824 - 11th St N, Montevideo, MN 56265","(320) 269-6435","http://www.montevideomedical.com",-95.711810715,44.9544611980001,"56265",30,"Critical Access"
107,"Mayo Clinic Health Sys Austin","1000 First Drive Northwest, Austin, MN 55912","(507) 433-7351","http://mayoclinichealthsystem.org/locations/austin",-92.977649755,43.6744847590001,"55912",82,"General Acute Care"
108,"Mercy Hospital Joplin","100 Mercy Way, Joplin, MO 64804","(417) 556-3729","https://www.mercy.net/practice/mercy-hospital-joplin",-94.509709276,37.036513395,"64804",240,"General Acute Care"
109,"Cox Medical Centers South Hospital","3801 South National Avenue, Springfield, MO 65807","(417) 269-6000","http://www.coxhealth.com/body.cfm?id=1344",-93.27967732,37.1449462520001,"65807",86,"General Acute Care"
110,"Cox Medical Centers North Hospital","1423 North Jefferson Street, Springfield, MO 65802","(417) 269-3000","http://www.coxhealth.com/body.cfm?id=1343",-93.2899637789999,37.224782487,"65802",75,"General Acute Care"
111,"Kindred Hospital Northland","500 Nw  68th Streeet, Kansas City, MO 64118","(816) 420-6300","https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-northland",-94.587269163,39.219287764,"64118",35,"Long Term Care"
112,"Cameron Regional Medical Center","1600 East Evergreen St, Cameron, MO 64429","(816) 632-2101","http://www.cameronregional.org",-94.2180560309999,39.7304349510001,"64429",58,"General Acute Care"
113,"Centerpoint Medical Center","19600 East 39th Street, Independence, MO 64057","(816) 698-7000","http://www.centerpointmedical.com",-94.348903822,39.049544804,"64057",221,"General Acute Care"
114,"Crittenton Children's Center","10918 Elm Avenue, Kansas City, MO 64134","(816) 765-6600","https://www.saintlukeskc.org/locations/crittenton-childrens-center?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link",-94.4811889009999,38.9243011040001,"64134",46,"Psychiatric"
115,"Research Medical Center","2316 East Meyer Boulevard, Kansas City, MO 64132","(816) 276-4000","http://researchmedicalcenter.com/",-94.5581250879999,39.008899844,"64132",487,"General Acute Care"
116,"Research Psychiatric Center","2323 East 63rd Street, Kansas City, MO 64130","(816) 444-8161","http://www.researchpsychiatriccenter.com",-94.560016538,39.011403301,"64130",100,"Psychiatric"
117,"St. Luke's Hospital of Kansas City","4401 Wornall Road, Kansas City, MO 64111","(816) 932-2000","https://www.saintlukeskc.org/locations/saint-lukes-hospital-kansas-city?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link",-94.5901959189999,39.047433617,"64111",564,"General Acute Care"
118,"Truman Medical Center - Lakewood","7900 Lee's Summ it Road, Kansas City, MO 64139","(816) 404-7000","https://lakewoodhospitalkc.org/",-94.39435345,38.975391868,"64139",298,"General Acute Care"
119,"Nevada Regional Medical Center","800 South Ash Street, Nevada, MO 64772","(417) 667-3355","http://www.nrmchealth.com",-94.360485532,37.831184524,"64772",71,"General Acute Care"
120,"Community Hospital Fairfax","26136 Us Highway 59, Fairfax, MO 64446","(660) 686-2211","http://www.fairfaxmed.com",-95.3904538529999,40.338548749,"64446",18,"Critical Access"
121,"Bates County Memorial Hospital","615 West Nursery Street, Butler, MO 64730","(660) 200-7000","http://www.bcmhospital.com",-94.342885883,38.249028437,"64730",60,"General Acute Care"
122,"Barton County Memorial Hospital","29 Nw  1st Lane, Lamar, MO 64759","(417) 681-5100","http://www.bcmh.net",-94.300845266,37.505696436,"64759",25,"Critical Access"
123,"Belton Regional Medical Center","17065 S. 71 Highway, Belton, MO 64012","(816) 348-1200","http://www.beltonregionalmedicalcenter.com",-94.503001913,38.815813023,"64012",71,"General Acute Care"
124,"Northwest Mo Psychiatric Rehab Ctr","3505 Frederick Avenue, St. Joseph, MO 64502","(816) 387-2300","https://dmh.mo.gov/nmprc/",-94.811402598,39.778489236,"64502",-999,"Psychiatric"
125,"Freeman Hospital East","932 East 34th Street, Joplin, MO 64804","(417) 347-1111","http://www.freemanhealth.com/freeman-east-joplin-missouri",-94.5070068249999,37.0507526270001,"64804",72,"General Acute Care"
126,"Freeman Hospital West","1102 West 32nd Street, Joplin, MO 64804","(417) 347-1111","http://www.freemanhealth.com/freeman-west-joplin-missouri/",-94.5267980879999,37.0527312830001,"64804",72,"General Acute Care"
127,"Landmark Hospital of Joplin","2040 w . 32nd Street, Joplin, MO 64804","(417) 627-1309","http://www.landmarkhospitals.com",-94.5383814579999,37.053538244,"64804",30,"Long Term Care"
128,"Freeman Neosho Hospital","113 West Hickory Street, Neosho, MO 64850","(417) 451-1234","http://www.freemanhealth.com",-94.369467921,36.8669539570001,"64850",49,"Critical Access"
129,"St. Luke's Hospital","232 South Woods Mill Road, Chesterfield, MO 63017","(314) 434-1500","http://www.stlukes-stl.com",-90.503223535,38.651290813,"63017",493,"General Acute Care"
130,"Barnes-Jewish West County Hospital","12634 Olive Boulevard, Creve Coeur, MO 63141","(314) 996-8000","http://www.barnesjewishwestcounty.org",-90.467997971,38.6762228900001,"63141",113,"General Acute Care"
131,"St. Luke's Rehabilitation Hospital","14709 Olive Boulevard, Chesterfield, MO 63017","(314) 317-5700","https://www.kindredhealthcare.com/locations/inpatient-rehabilitation-hospitals/st-lukes-rehabilitation-hospital",-90.532178376,38.67570773,"63017",35,"Rehabilitation"
132,"Ranken Jordan a Pediatric Rehabilitation Center","11365 Dorsett Road, Maryland Heights, MO 63043","(314) 872-6400","http://www.rankenjordan.org",-90.415448509,38.709957914,"63043",34,"Rehabilitation"
133,"Ssm Rehabilitation Hospital at St. Mary's Health Center","1027 Bellevue Avenue, Richmond Heights, MO 63117","(314) 768-5202","http://www.ssm-select.com/",-90.3126995979999,38.633330883,"63117",35,"Rehabilitation"
134,"Christian Hospital Northeast-Northwest","11133 Dunn Road, St. Louis, MO 63136","(314) 653-5000","http://www.christianhospital.org",-90.240358059,38.7765816890001,"63136",482,"General Acute Care"
135,"Ssm Rehabilitation Hospital","12380 Depaul Drive, Bridgeton, MO 63044","(314) 447-9700","http://www.ssm-select.com/locations/inpatientrehab.aspx",-90.435165248,38.751768299,"63044",60,"Rehabilitation"
136,"Ste Genevieve County Memorial Hospital","800 Ste. Genevieve Drive, Ste Genevieve, MO 63670","(573) 883-2751","http://www.stegenevievehospital.org",-90.054654906,37.969342225,"63670",47,"Critical Access"
137,"Parkland Health Center-Bonne Terre","7245 Raider Road, Bonne Terre, MO 63628","(573) 358-1400","http://www.parklandhealthcenter.org",-90.5243640039999,37.908057016,"63628",3,"Critical Access"
138,"Southeasthealth Center of Ripley County","109 Plum Street, Doniphan, MO 63935","(573) 996-2141","https://www.sehealth.org/locations/health-center-ripley-county",-90.8258195719999,36.621297375,"63935",21,"General Acute Care"
139,"Ssm St. Joseph Health Center","300 1st Capitol Drive, St. Charles, MO 63301","(636) 947-5000","https://www.ssmhealth.com/locations/st-joseph-hospital-st-charles?utm_id=gmb18-13",-90.484620544,38.78090867,"63301",333,"General Acute Care"
140,"Ssm St. Joseph Health Center-Wentzville","500 Medical Drive, Wentzville, MO 63385","(636) 327-1100","http://www.ssmhealth.com/sjwz",-90.880721003,38.822150407,"63385",77,"General Acute Care"
141,"Ssm St. Joseph Hospital West","100 Medical Plaza, Lake St. Louis, MO 63367","(636) 625-5200","http://www.ssmhealth.com/hospitalwest",-90.7757467489999,38.802796668,"63367",116,"General Acute Care"
142,"Centerpointe Hospital","4801 Weldon Spring Parkway, St. Charles, MO 63304","(636) 441-7300","http://www.centerpointehospital.com",-90.671889256,38.7149685030001,"63304",104,"Psychiatric"
143,"Barnes-Jewish St. Peters Hospital","10 Hospital Drive, St. Peters, MO 63376","(636) 916-9000","http://www.bjsph.org/",-90.579615313,38.793605051,"63376",113,"General Acute Care"
144,"Fitzgibbon Hospital","2305 South 65 Highway, Marshall, MO 65340","(660) 886-7431","http://www.fitzgibbon.org",-93.213159133,39.0914981720001,"65340",60,"General Acute Care"
145,"Wright Memorial Hospital","191 Iowa Boulevard, Trenton, MO 64683","(660) 358-5700","https://www.saintlukeskc.org/locations/wright-memorial-hospital?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link",-93.581639673,40.0678669850001,"64683",25,"Critical Access"
146,"Mercy Hospital Washington","901 East 5th Street, Washington, MO 63090","(636) 239-8000","http://www.mercy.net",-91.0021347249999,38.5525900860001,"63090",148,"General Acute Care"
147,"Hermann Area District Hospital","509 West 18th Street, Hermann, MO 65041","(573) 486-2191","http://www.hadh.org",-91.449585554,38.693078127,"65041",24,"Critical Access"
148,"Ozarks Community Hospital","2828 North National Avenue, Springfield, MO 65803","(417) 837-4000","http://www.ochonline.com",-93.2724018749999,37.24856378,"65803",15,"General Acute Care"
149,"Iron County Hospital","301 North Highway 21, Pilot Knob, MO 63663","(573) 546-1260","http://www.icmedcenter.org/",-90.644717949,37.623123891,"63663",15,"Critical Access"
