"ID","org","address","phone","email","website","lon","lat","zipcode","capacity_hours"
48,"Cantonment Adult and Family Care","748 N Highway 29, Cantonment, FL 32533-9513","850-937-4004","","http://healthcarewithinreach.org",-87.32617726,30.62067177,"32533",40
49,"Dorothy Howell Elementary School","459 Buckner St, Elsmere, KY 41018-2303","859-655-6100","","",-84.60109378,39.00587754,"41018",6
50,"Lebanon Center","300 Willow St, Lebanon, PA 17046-4871","718-801-4804","","",-76.41656666,40.34118049,"17046",60
51,"West Virginia Wesleyan College Wellness Center","59 College Ave, Buckhannon, WV 26201-2600","304-924-6262","","",-80.22103988,38.99026515,"26201",20
52,"Cifc/Chcgd Mobile Health Unit","120 Main St, Danbury, CT 06810-7834","203-743-0100","","http://www.ct-institute.org",-73.44984591,41.3922288,"06810",1
53,"Good Shepherd Community Clinic, Inc.","20 12th Ave NW, Ardmore, OK 73401-5722","580-223-3411","","http://www.buildinghealthypeople.org",-97.1251679,34.184885,"73401",40
54,"Family Support Center","6025 6th Ave, Brooklyn, NY 11220-4004","718-630-7171","","https://nyulangone.org/locations/family-health-centers-at-nyu-langone",-74.01437112,40.63772208,"11220",40
55,"United Health Centers - Reedley","1560 E Manning Ave, Reedley, CA 93654-2346","559-638-7177","","",-119.43259758,36.60418278,"93654",50
56,"South of Market Health Center","229 7th St, San Francisco, CA 94103-4003","415-503-6000","","http://www.smhcsf.org",-122.40894523,37.77764741,"94103",46
57,"Jordan Health at Community Place","151 Parsells Ave, Rochester, NY 14609-5118","585-454-7530","","",-77.57487589,43.16555648,"14609",46
58,"Arcare - 20","125 Oak St, Cotton Plant, AR 72036-5089","870-459-3588","","http://www.arcare.net",-91.25197551,35.00401503,"72036",40
59,"Walltown Clinic","815 Broad St, Durham, NC 27705-4137","919-416-1254","","http://lincolnchc.org",-78.91958795,36.01102472,"27705",36
60,"Cudahy Family Health Center","7910 Atlantic Ave, Cudahy, CA 90201-5774","323-908-4200","","",-118.18603636,33.96233407,"90201",45
61,"Community Health Center of Southeast Kansas/Baxter Springs","2990 Military Ave, Baxter Springs, KS 66713-2331","620-231-9873","","http://www.chcsek.org",-94.73949294,37.0060055,"66713",58
62,"Salud Baker Central School","300 Lake St, Fort Morgan, CO 80701-3118","303-697-2583","","http://saludclinic.org",-103.79674798,40.25057405,"80701",6
63,"Westville Family Medicine","761 Buffington Rd, Westville, OK 74965-6139","918-723-3097","","http://www.neohealth.org",-94.57106078,35.99520061,"74965",40
64,"Stamford Academy Sbhc","229 North St, Stamford, CT 06901-1112","203-324-4277","","",-73.53637756,41.05944874,"06901",16
65,"St. Barbara's Nursing Home","1234 State St, Fairmont, WV 26554","304-366-0700","","http://www.mvahealth.org",-80.13096022,39.46942945,"26554",1
66,"Fisher Elementary School","5151 W 14th St, Indianapolis, IN 46224-6410","317-241-6543","","",-86.24770263,39.78511453,"46224",40
67,"Tcch Pasco – Dental, Behavioral Health &amp; Wic","715 W Court St, Pasco, WA 99301-4153","509-547-2204","","http://www.mytcch.org",-119.09746044,46.24132751,"99301",56.25
68,"Northern Nevada Hiv Outpatient Program, Education and Services","467 Ralston St, Reno, NV 89503-4432","775-786-4673","","",-119.82111709,39.52958781,"89503",NA
69,"Huntingdon Health Services Suite 201","43 Barkley Cir Ste 201, Fort Myers, FL 33907-7518","239-936-5250","","http://www.mcrhs.org",-81.88120176,26.58783616,"33907",NA
70,"Clinica De Las Americas","1101 NW 1st St, Ft Lauderdale, FL 33311-8905","954-761-1020","","",-80.15692486,26.12289951,"33311",42
71,"Bangor Area Homeless Shelter","26 Cedar St, Bangor, ME 04401-7800","207-947-6018","","",-68.77389389,44.79703903,"04401",1
72,"West Mountain Health Services","161 Carey Rd, Queensbury, NY 12804-7821","518-824-8610 x0","","http://www.hhhn.org",-73.68801938,43.29547417,"12804",48.5
73,"Unify Community Health, West Central","1603 N Belt St, Spokane, WA 99205-4038","509-326-4343","","http://www.yvfwc.com",-117.44284228,47.67282199,"99205",53.25
74,"Northwest Health Mobile Unit","2303 Village Dr, Saint Joseph, MO 64506-4954","816-232-6818","","http://www.nwhealth-services.org",-94.798827,39.788136,"64506",40
75,"Valley Health - Otolaryngology","3 Stonecrest Dr, Huntington, WV 25701-9392","304-522-6388","","http://www.valleyhealth.org",-82.45238113,38.39619258,"25701",40
76,"Youth Detention Center","1830 White Lake Dr, Whitehall, MI 49461-9205","231-777-2093","","http://www.mfc-health.org",-86.28776252,43.38407352,"49461",4
77,"Student Health &amp; Wellness Center","855 N Vermont Ave, Los Angeles, CA 90029-3516","323-953-4000 x2485","","http://www.jwchinstitute.org",-118.29175898,34.08677099,"90029",40
78,"Ocala West Family Medicine","6041 SW 54th St Ste 100, Ocala, FL 34474-5521","352-854-0700","","",-82.2190365,29.133954,"34474",40
79,"County of Monterey - Seaside Family Health Center","1156 Fremont Blvd, Seaside, CA 93955-5715","831-899-8100","","http://www.montereycountyclinicservices.org/",-121.84888288,36.60189638,"93955",56
80,"Rossville Health Center","4940 Highway 57, Rossville, TN 38066-5068","901-261-7303","","http://www.memphishealthcenter.org",-89.55777509,35.04241607,"38066",40
81,"Utah Partners for Health Dental &amp; Behavioral Health","7651 S Main St, Midvale, UT 84047-7101","801-417-0131","","",-111.9102538,40.61229199,"84047",42.5
82,"Medina County - Wadsworth","185 Wadsworth Rd Ste C, Wadsworth, OH 44281-9585","330-723-9688","","http://www.medinahealth.org",-81.75439398,41.02701184,"44281",42.5
83,"Costa Salud Community Health Centers - Rincon","28 Calle Munoz Rivera W, Rincon, PR 00677-2127","787-823-5555 x224","","",-67.25207153,18.33791315,"00677",98
84,"Victoria Ave. Admin Site","1926 Victoria Ave, Fort Myers, FL 33901-3414","239-278-3600","","http://www.fhcswfl.org",-81.87361199,26.63701051,"33901",40
85,"Ps 57/James Weldon Johnson School-Based Health Center","176 E 115th St, New York, NY 10029-2031","212-560-5812","","",-73.94136495,40.79758879,"10029",40
86,"County of Monterey - Clinic Services Finance / Billing","1441 Schilling Pl BLDG SOUTH, Salinas, CA 93901-4527","831-796-1359","","http://www.montereycountyclinicservices.org",-121.61971349,36.653508,"93901",0
87,"Temporary Site - Estadio Municipal De Yauco","Southwest Calle Palma Real, Almácigo Bajo, PR 00698","787-843-9393","","",-66.86165999,18.04971,"00698",40
88,"Ithaca Middle/High School","710 N Union St Rm 700, Ithaca, MI 48847-1314","989-824-2712","","",-84.59755435,43.30117854,"48847",12
89,"Maria De Los Santos Women's Health Center","400 W Allegheny Ave, Philadelphia, PA 19133-3614","215-291-2500","","",-75.13653524,39.99946914,"19133",40
90,"Wheeling Health Right Center","61 29th St, Wheeling, WV 26003-4161","304-233-9323","","",-80.72332036,40.05150744,"26003",40
91,"Medlink Oglethorpe","247 Union Point St, Lexington, GA 30648-2303","706-743-8171","","http://www.medlinkga.org",-83.11881318,33.87059429,"30648",42
92,"Progress Place Clinic","8106 Georgia Ave, Silver Spring, MD 20910-4991","301-493-2400","","",-77.02666586,38.990763,"20910",8
93,"Seward Community Health Center","417 First Ave, Seward, AK 99664","907-224-4064","","http://www.sewardhealthcenter.org",-149.44553591,60.10544784,"99664",58
94,"GVHC - Turlock Pediatric Health Center 1199 Suite 3","1199 Delbon Ave Ste 3, Turlock, CA 95382-2006","209-385-5503","","http://www.gvhc.org",-120.83581311,37.51066347,"95382",40
95,"Grand Avenue Homeless Clinic","1008 N Grand Ave, Pueblo, CO 81003-2916","719-584-3964","","http://www.pueblochc.org",-104.61164751,38.2762698,"81003",18
96,"Kilcollin Dental","247 Health Center Dr, Union, WV 24983-8463","304-772-3333","","http://www.kilcollindental.com",-80.54723331,37.58868898,"24983",40
97,"Waianae Coast Comprehensive Health Ctr","86-260 Farrington Hwy, Waianae, HI 96792-3128","808-696-7081","","http://www.wcchc.com",-158.179473,21.430017,"96792",168
98,"Riverside Intermediate School","203 N 12th St, Wathena, KS 66090","913-365-6735","","",-94.88445627,39.75633378,"66090",39
99,"Tlc @ Riverside Drive","560 Riverside Dr Ste A204, Salisbury, MD 21801-4704","443-358-6193","","https://chesapeakehc.org",-75.60739516,38.36110994,"21801",52.5
100,"Vhc Moorpark-Maternal Fetal Medicine","2400 Moorpark Ave Ste 100, San Jose, CA 95128-2623","408-885-7049","","",-121.937103,37.31608151,"95128",46
101,"James Madison Elementary Health Center","2563 Monroe Blvd, Ogden, UT 84401-2513","801-334-2213","","http://none",-111.95937092,41.2192615,"84401",40
102,"Sikeston Dental Center","220 Southland Dr, Sikeston, MO 63801-4403","573-471-4167","","",-89.5830451,36.86576644,"63801",40
103,"Mary Todd Elementary Healthfirst Bluegrass School Clinic","551 Parkside Dr, Lexington, KY 40505-1726","859-381-3512","","http://www.healthfirstlex.com",-84.45415103,38.08270584,"40505",40
104,"Molokai Community Health Center, Building #10, Registration Department","30 Oki Pl, Kaunakakai, HI 96748","808-553-5038","","",-157.018341885968,21.0872313326797,"96748",44
105,"Acrs","3639 Martin Luther King Jr Way S, Seattle, WA 98144-6847","206-695-7600","","",-122.29705375,47.57080474,"98144",8
106,"Gillespie Community Unit School District #7","510 W Elm St, Gillespie, IL 62033-1167","217-839-2464","","",-89.82542348,39.12851883,"62033",8
107,"Missouri Ozarks Community Health Licking Medical","135 College Ave, Licking, MO 65542-9878","573-674-1089","","",-91.85729923,37.4900887,"65542",16
108,"Valley Family Health Care - La Familia Sana & Dental Clinic","17 N 6th St, Nyssa, OR 97913-3477","541-372-2606","","http://www.vfhc.org",-117.00010016,43.877493,"97913",40
109,"Ama Family","5309 E State Road 64, Bradenton, FL 34208-5534","941-747-9818","","",-82.49455839,27.49464625,"34208",37
110,"Family Health Centers of Baltimore, Inc.","631 Cherry Hill Rd, Brooklyn, MD 21225-1228","410-354-2000","","http://www.fhcb.org",-76.62295073,39.24995292,"21225",40
111,"Broadway Family Health Center","1238 Broadway, Brooklyn, NY 11221-2906","718-443-2428","","http://n/a",-73.92585672,40.69163068,"11221",45
112,"Trilogy Heartland Healthcare Home","1400 W Greenleaf Ave, Chicago, IL 60626-2805","773-508-6135","","http://www.heartlandhealthcenters.org",-87.66649302,42.01037646,"60626",40
113,"Family Health Care Clinic, Inc., --Columbia","628 Main St, Columbia, MS 39429-2936","601-823-1710","","http://www.familyhealthcareclinic.com",-89.83424692,31.25087488,"39429",40
114,"Broad Top Area Medical Center Family Care Center","835 Washington St, Huntingdon, PA 16652-1725","814-506-8114","","",-78.01714723,40.48832167,"16652",40
115,"Mehop Women and Children Center","111 Avenue F N, Bay City, TX 77414-3167","979-245-0190","","http://www.mehop.org",-95.97235412,29.00381684,"77414",40
116,"Proteus, Inc. - Fort Dodge Site","107 N 7th St, Fort Dodge, IA 50501-3830","515-557-8225","","",-94.18876928,42.5054567,"50501",40
117,"Omni Family Health","4646 N 1st St, Fresno, CA 93726-0973","800-300-6664","","http://www.omnifamilyhealth.org",-119.77221102,36.802179,"93726",40
118,"Curtis v. Cooper Pri Hlth Care","2 Roberts St, Savannah, GA 31408-3524","912-527-1100","","",-81.13722322,32.09456043,"31408",40
119,"Community Health Service Inc. - Willmar","PO BOX 845, Willmar, MN 56201-0845","320-214-7426","","",-95.04483199,45.120417,"56201",40
120,"Mt. Pleasant Family Hlth Clinic","154 Mount Pleasant Rd, Holly Springs, MS 38635","662-851-7939","","http://www.byhaliafamilyhealthcenter.org",-89.52585014,34.95607407,"38635",40
121,"Miles Broadway Health Center","9127 Miles Ave, Cleveland, OH 44105-6136","216-231-7700","","http://www.neonhealth.org",-81.6226515,41.44518652,"44105",45
122,"Community Health Centers Womens Health","1551 Bishop St Ste 240, San Luis Obispo, CA 93401-4661","805-549-0402","","http://www.chccc.org",-120.64543755,35.27331716,"93401",40
123,"Mitch's Place","127 How St, Haverhill, MA 01830-5615","978-725-7400","","http://www.glfhc.org",-71.08105458,42.77694455,"01830",6
124,"St. Charles Community Health Mobile Unit","843 Milling Ave, Luling, LA 70070-4442","985-785-5800","","http://www.accesshealthla.org",-90.36957054,29.92415341,"70070",16
125,"Curtis v. Cooper Primary Health Care, Inc","106 E Broad St, Savannah, GA 31401-2917","912-527-1000","","",-81.0845352042854,32.0763109538736,"31401",49
126,"Settlement Health - Administrative Site","104 E 107th St, New York, NY 10029-3930","212-360-2600","","",-73.94712265,40.79345381,"10029",NA
127,"Alpine Family Medicine","1620 Alpine Blvd Ste 119B, Alpine, CA 91901-1104","619-445-6200","","http://www.mtnhealth.org",-116.7799951607,32.8377849924297,"91901",43
128,"Alma High School","1500 Pine Ave Rm B207, Alma, MI 48801-1275","989-824-2713","","",-84.65607758,43.39153534,"48801",8
129,"Avoyelles Primary Health and Wellness Center","1007 Shirley Rd, Bunkie, LA 71322-1544","318-487-4400","","http://www.rphcc.org",-92.19445459,30.95939931,"71322",40
130,"Gracemed Comcare Clinic","1919 N Amidon Ave Ste 100, Wichita, KS 67203-2118","316-866-2000","","",-97.36307326,37.71810899,"67203",40
131,"Hiv Health Services Center","619 NW 6th Ave, Portland, OR 97209-3964","503-988-3700","","",-122.67663165,45.52753776,"97209",45
132,"Edgar H. Price Family & Children Healthcare Center","12271 US Highway 301 N, Parrish, FL 34219-8410","941-776-4050","","http://www.mcrhs.org",-82.4254799814763,27.5824834054951,"34219",44
133,"Cvc Mobile Health Van Sbhcc","106 E Broad St, Savannah, GA 31401-2917","912-527-1000","","",-81.084519,32.076225,"31401",32
134,"Shawnee Health Care, Carterville","1006 S Division St, Carterville, IL 62918-1539","618-985-4841","","http://www.shsdc.org",-89.07712773,37.750662,"62918",47
135,"2 Old County Road","2 County Rd, Barrington, RI 02806-4505","401-246-1195","","http://www.ebcap.org",-71.2901416,41.7373206,"02806",45
136,"Gracemed Administration Center","1150 N Broadway Ave, Wichita, KS 67214-2805","316-866-2000","","",-97.33553325,37.7042318,"67214",NA
137,"Med Centro Cantera Satellite Center","72 Calle Mayor, Ponce, PR 00730-3724","787-843-9393","","http://www.medcentro.org",-66.61241892,18.01558107,"00730",40
138,"Fox Comprehensive Health Center","849 Jeffco Blvd, Arnold, MO 63010-1409","314-594-7170","","http://www.comtrea.org",-90.3713005082507,38.4474596321259,"63010",40
139,"Patricia Handy Place","810 5th St NW, Washington, DC 20001-2622","202-715-7900","","",-77.0191695,38.900367,"20001",4
140,"Bella Vista Community Health Center","882 Hunts Point Ave, Bronx, NY 10474-5402","718-589-2440","","http://www.urbanhealthplan.org",-73.8894108,40.81902689,"10474",45
141,"Crisp County School-Based Health Center","330 Old Hatley Rd, Cordele, GA 31015-5104","229-273-4257","","",-83.7520739,31.92576582,"31015",40
142,"Bushwick Family Residence","1675 Broadway, Brooklyn, NY 11207-1495","718-574-2707","","http://www.salvationarmy-newyork.org",-73.91265859,40.68417124,"11207",42
143,"La Clinica School-Based Health Center at Washington Elementary School","610 S Peach St, Medford, OR 97501-3310","541-535-6239","","http://www.laclinicahealth.org",-122.8826681,42.31698305,"97501",42.5
144,"Aria Community Health Center - Amc","148 E Kings St, Avenal, CA 93204-1529","559-386-9000","","http://www.ariachc.org",-120.13660366,36.00249151,"93204",40
145,"Sandersville Community Hlth Ctr","616 Ferncrest Dr, Sandersville, GA 31082-1863","478-552-1620 x3001","","http://www.chcsga.org",-82.80558371,32.99789958,"31082",41
146,"Administrative Offices","1148 Broadway Ste 100, Tacoma, WA 98402-3518","253-597-4550","","",-122.43983126,47.25188914,"98402",NA
147,"Knox/Winamac Community Health Centers","1002 S Edgewood Dr, Knox, IN 46534-8226","574-772-6030","k.robb@kwchc.net","",-86.612723,41.28765263,"46534",47
148,"La Red Health Center Main Campus","21444 Carmean Way, Georgetown, DE 19947-4572","302-855-1233","","",-75.40492792,38.69916773,"19947",52
149,"Care Connections Clinic","3706 S 1st St, Austin, TX 78704-7046","512-978-9015","","",-97.76812982,30.22869307,"78704",40
150,"Oneworld Livestock Campus Livestock Building","4920 S 30th St Ste 103, Omaha, NE 68107-1656","402-734-4110","","http://www.oneworldomaha.org",-95.9551101835388,41.2101700168073,"68107",80
151,"Rhchc Administration","216 S Market St, Ottumwa, IA 52501-2923","641-954-9971","","http://www.riverhillshealth.org/",-92.4122556,41.01658127,"52501",NA
152,"Goshen Medical Center - Hamlet","106 Jefferson St, Hamlet, NC 28345-3100","910-557-9447","","",-79.70245568,34.88631837,"28345",40
153,"Generations Fhc - Norwich","330 Washington St Ste 510, Norwich, CT 06360-2733","860-885-1308","","http://www.genhealth.org",-72.08697575,41.54362662,"06360",52
154,"Is 302","350 Linwood St, Brooklyn, NY 11208-2116","718-235-8199","","",-73.88346603,40.67717965,"11208",40
155,"Elica Health Centers - Midtown Medical Center","3701 J St Ste 104, Sacramento, CA 95816-5542","916-454-2345","","",-121.4566245,38.57123699,"95816",40
156,"A.i. Prince Technical School","500 Brookfield St, Hartford, CT 06106-3709","860-951-7112","","http://www.thecharteroak.org",-72.70680697,41.74011861,"06106",32
157,"Abraham Lincoln High School","2800 Ocean Pkwy, Brooklyn, NY 11235-7800","718-333-7400","","https://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone",-73.96746468,40.58231692,"11235",40
158,"C. L. Brumback Primary Care Clinic - Mangonia Park","2151 45th St Ste 204, West Palm Beach, FL 33407-2009","561-642-1000","","https://www.hcdpbc.org/for-patients/primary-care-clinics",-80.0869275,26.761482,"33407",40
159,"Sea Mar Chc - Vancouver Delaware Lane","7410 Delaware Ln, Vancouver, WA 98664-1408","360-566-4402","","http://www.seamar.org",-122.594661,45.62423847,"98664",48
160,"Denmark-Olar High School","197 Viking Cir, Denmark, SC 29042-1566","803-793-3307","","",-81.12302847,33.32721913,"29042",45
161,"Lscc Dental Center","2411 Williams Dr Ste 111, Georgetown, TX 78628-3268","512-864-1445","","",-97.68873189,30.65933533,"78628",45
162,"Englewood Health Center","3515 S Delaware St, Englewood, CO 80110-3529","303-788-0782","","http://www.mcpn.org",-104.99242621,39.65255999,"80110",42.5
163,"Coos County Family Health Svcs","133 Pleasant St, Berlin, NH 03570-2006","603-752-2040","","http://www.coosfamilyhealth.org",-71.18240721,44.46962192,"03570",45
164,"Moorpark Family Medical Clinic","612 Spring Rd Bldg A, Moorpark, CA 93021-1298","805-529-4624","","",-118.8746742,34.28157987,"93021",50
165,"Seneca Health Center and Dental Clinic","450 Dundee Ave, Elgin, IL 60120-4205","847-608-1344","","http://www.gefcc.org",-88.27678683,42.04561596,"60120",64
166,"Park Hill Family Health Center","4995 E 33rd Ave, Denver, CO 80207-1902","303-602-3720","","http://www.denverhealth.org",-104.92987826,39.76381599,"80207",40
167,"Cairo Mega Clinic","13245 Kessler Rd, Cairo, IL 62914-3101","618-734-4400","","http://www.chesi.org",-89.1970660006818,37.0407433780117,"62914",50
168,"Family Health Center at Holly Hill","922 Holly St, Holly Hill, SC 29059-2762","803-531-6900","","",-80.41722666,33.32625554,"29059",45
169,"The Triumph","4225 6th St SE, Washington, DC 20032-3613","202-735-0979","","",-76.99904099,38.828268,"20032",24
170,"Kvhc Houlton Elementary School","60 South St, Houlton, ME 04730-1500","207-538-3700","","http://www.rsu29.org",-67.84660895,46.11088959,"04730",8
171,"Chp Harvard Dental Clinic","62 N Ayer St, Harvard, IL 60033","815-943-4339","","http://www.chpofil.org",-88.6143428434567,42.4214393090341,"60033",32
172,"Coast Community Health - Wellness Center","716 Highway 101, Port Orford, OR 97465-8672","541-332-1114","","http://www.coastcommunityhealth.org",-124.49636125,42.74432143,"97465",50
173,"Vcc:  La Tortuga","465 La Tortuga Dr, Vista, CA 92081-4320","760-631-5000","","http://www.vcc.org",-117.25846596,33.19017413,"92081",0.25
174,"Financial Services Offices","214 E Main St, Providence, KY 42450-1244","270-667-7017","","",-87.75994965,37.39834897,"42450",NA
175,"Louis B. Russell #48","3445 Central Ave Rm 007, Indianapolis, IN 46205-3705","317-226-4248","","",-86.14966473,39.81921299,"46205",47.5
176,"Sea Mar Chc - Administration","1040 S Henderson St, Seattle, WA 98108-4720","206-763-5277","","http://www.seamar.org",-122.318073,47.523582,"98108",NA
177,"Cache Valley Community Health Center South","517 W 100 N Ste 210, Providence, UT 84332-9826","435-755-6061","","",-111.83056434,41.71015692,"84332",NA
